source,title,link,published_at,asset,sentiment_category,category_score,bullish_score,bearish_score,regulatory_score,security_score,confidence,market_impact,bullish_matches,bearish_matches,regulatory_matches,security_matches,classification_reason,source_weight,recency_weight,confidence_weight,weighted_news_score,directional_news_score
cointelegraph,BlackRock says 'exotic' crypto ETFs not part of its strategy,https://cointelegraph.com/news/blackrock-wont-consider-exotic-crypto-etfs?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 04:52:48+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
coindesk,"Bitcoin can survive 72% of the world's submarine cables being cut, but a targeted attack on five hosting providers could cripple it",https://www.coindesk.com/markets/2026/03/13/bitcoin-can-survive-72-of-the-world-s-submarine-cables-being-cut-but-a-targeted-attack-on-five-hosting-providers-could-cripple-it,2026-03-14 03:30:00+00:00,BTC-USD,Security,4,0,0,0,4,Medium,Negative,,,,attack,Security has the highest score with a clear margin.,1.1,1.0,0.75,3.3,-3.3
cointelegraph,Stablecoins could form backbone of global payments in 10 years: Billionaire,https://cointelegraph.com/news/stablecoins-power-global-payments-10-years-stanley-druckenmiller?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 01:22:32+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
cointelegraph,"Bitcoin nearly overtakes $74K, as data suggests bear market is not over",https://cointelegraph.com/news/bitcoin-nearly-overtakes-dollar74k-as-data-suggests-bear-market-is-not-over?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 01:06:31+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
cointelegraph,Federal court ends Custodia Bank's legal bid for a master account,https://cointelegraph.com/news/federal-court-ends-custodia-bank-s-legal-bid-for-a-master-account?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-13 23:57:17+00:00,MARKET,Regulatory,3,0,0,3,0,Medium,Neutral,,,court,,Regulatory has the highest score with a clear margin.,1.0,0.85,0.75,1.9125,0.0
coindesk,A huge gap between network use and token value is the most important thing happening in XRP right now,https://www.coindesk.com/markets/2026/03/13/dnp-xrp-ledger-activity-is-hitting-records-but-why-are-xrp-prices-down-62-from-peak,2026-03-13 23:30:00+00:00,XRP-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,0.85,0.5,0.0,0.0
cryptonews,XRP Price Prediction: Ripple Says Big Companies May Start Using Crypto for Payroll and Payments – Is XRP About to Explode?,https://cryptonews.com/news/xrp-price-prediction-ripple-says-big-companies-may-start-using-crypto-for-payroll-and-payments-is-xrp-about-to-explode/,2026-03-13 23:20:00+00:00,XRP-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,0.85,0.5,0.0,0.0
cryptonews,Solana Price Prediction: Buying Pressure Just Doubled — Is SOL About to Explode Past $100?,https://cryptonews.com/news/solana-price-prediction-buying-pressure-just-doubled-is-sol-about-to-explode-past-100/,2026-03-13 23:15:00+00:00,SOL-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,0.85,0.5,0.0,0.0
cryptonews,"Crypto Price Prediction Today 13 March – XRP, Pi Coin, TRUMP",https://cryptonews.com/news/crypto-price-prediction-today-13-march-xrp-pi-coin-trump/,2026-03-13 22:35:00+00:00,XRP-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,0.85,0.5,0.0,0.0
cryptonews,"China’s Alibaba AI Predicts the Price of XRP, Bitcoin and Ethereum by The End of 2026",https://cryptonews.com/news/chinas-alibaba-ai-predicts-the-price-of-xrp-bitcoin-and-ethereum-by-the-end-of-2026/,2026-03-13 22:30:00+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,0.85,0.5,0.0,0.0
cryptonews,Bitcoin Price Prediction: BTC Hits Weekly High Despite US–Iran War Fears — What Do Bulls Know?,https://cryptonews.com/news/bitcoin-price-prediction-btc-hits-weekly-high-despite-us-iran-war-fears-what-do-bulls-know/,2026-03-13 22:10:00+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,0.85,0.5,0.0,0.0
cryptonews,Ethereum Price Prediction: BlackRock Just Launched a Staked ETH ETF — Is Wall Street About to Pile In?,https://cryptonews.com/news/ethereum-price-prediction-blackrock-just-launched-a-staked-eth-etf-is-wall-street-about-to-pile-in/,2026-03-13 22:00:00+00:00,ETH-USD,Regulatory,2,0,0,2,0,Medium,Neutral,,,etf,,Regulatory has the highest score with a clear margin.,0.95,0.85,0.75,1.2112,0.0
cryptonews,DOJ and Europol Dismantle Crypto-Linked Proxy Network SocksEscort in Joint Action,https://cryptonews.com/news/doj-europol-dismantle-crypto-proxy-network-socksescort/,2026-03-13 22:00:00+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,0.85,0.5,0.0,0.0
coindesk,Court closes Custodia fight with Federal Reserve just as Fed opens master-account door,https://www.coindesk.com/policy/2026/03/13/court-closes-custodia-fight-with-federal-reserve-just-as-fed-opens-master-account-door,2026-03-13 21:04:03+00:00,MARKET,Regulatory,3,0,0,3,0,Medium,Neutral,,,court,,Regulatory has the highest score with a clear margin.,1.1,0.85,0.75,2.1038,0.0
cointelegraph,"BPI targets August for BTC tax relief, but warns time is running out",https://cointelegraph.com/news/bpi-targets-august-btc-tax-relief-warns-time-running-out?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-13 21:01:21+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,0.85,0.5,0.0,0.0
cointelegraph,Circle‘s USDC overtook Tether‘s USDT in adjusted YTD volume: Mizuho,https://cointelegraph.com/news/circle-usdc-tether-usdt-adjusted-ytd-volume-mizuho?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-13 20:54:15+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,0.85,0.5,0.0,0.0
cointelegraph,"Ether accumulation data predicts rally to $2.8K, but there’s a catch",https://cointelegraph.com/news/ether-accumulation-data-predicts-rally-to-dollar2-8k-but-there-s-a-catch?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-13 20:34:28+00:00,ETH-USD,Bullish,3,3,0,0,0,Medium,Positive,rally,,,,Bullish has the highest score with a clear margin.,1.0,0.85,0.75,1.9125,1.9125
theblock,"Billionaire investor Druckenmiller says ‘quicker, cheaper’ stablecoins could power payments in 10-15 years",https://www.theblock.co/post/393588/billionaire-investor-druckenmiller-quicker-cheaper-stablecoins-power-payments-10-15-years?utm_source=rss&utm_medium=rss,2026-03-13 20:03:52+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,0.85,0.5,0.0,0.0
cointelegraph,Crypto Biz: Circle stock defies Wall Street and digital asset selloff,https://cointelegraph.com/news/circle-stock-stablecoin-growth-canaan-bitcoin-wells-fargo-crypto?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-13 20:00:00+00:00,MARKET,Bearish,4,0,4,0,0,Medium,Negative,,selloff,,,Bearish has the highest score with a clear margin.,1.0,0.85,0.75,2.55,-2.55
coindesk,Circle overtakes BlackRock in tokenized Treasuries as market hits record $11 billion,https://www.coindesk.com/markets/2026/03/13/circle-overtakes-blackrock-in-tokenized-treasuries-as-market-hits-record-usd11-billion,2026-03-13 19:41:14+00:00,MARKET,Bullish,2,2,0,0,0,Medium,Positive,record,,,,Bullish has the highest score with a clear margin.,1.1,0.85,0.75,1.4025,1.4025
